#mAbG 50 mM NaCl 10 mg/ml with FF 1 and 2 mg/ml		
#q	S(q)	deltaS(q)
0.068541683	0.893453645	0.019370244
0.06867238	0.921841303	0.020215692
0.068803078	0.96035615	0.022139644
0.068933775	1.024340192	0.025011712
0.069064472	0.996685334	0.023573963
0.069195169	0.987933125	0.023369554
0.069325867	0.952247652	0.021816922
0.069456564	0.99415809	0.023780312
0.069587261	0.91804698	0.020427202
0.069717959	0.976783085	0.022954723
0.069848656	1.006808106	0.024559354
0.069979353	0.996831791	0.024200355
0.070110051	0.947261373	0.022706202
0.070240748	0.926597063	0.020949941
0.070371445	0.975619742	0.023177771
0.070502143	0.916461183	0.020690351
0.07063284	0.9141024	0.020553062
0.070763537	0.953886069	0.022479324
0.070894235	1.000488893	0.024683742
0.071024932	0.945143626	0.022171354
0.071155629	0.968846433	0.023323794
0.071286326	0.932835596	0.021669314
0.071417024	0.961920746	0.022994239
0.071547721	0.980272331	0.02379438
0.071678418	0.904165867	0.02042126
0.071809116	0.973464113	0.023676721
0.071939813	0.957036396	0.02319571
0.07207051	0.950220786	0.022825675
0.072201208	1.018369324	0.026271336
0.072331905	0.94729944	0.022780836
0.072462602	0.958124987	0.024056898
0.0725933	0.946977446	0.023026318
0.072723997	0.9320114	0.022099966
0.072854694	0.941492716	0.022645679
0.072985392	0.975710223	0.024535452
0.073116089	0.932308976	0.023072716
0.073246786	0.972884524	0.024363369
0.073377483	0.897829929	0.020901346
0.073508181	0.957617013	0.023580351
0.073638878	0.973928037	0.024589417
0.073769575	0.989831453	0.025152633
0.073900273	0.951022012	0.023585163
0.07403097	0.935955098	0.023036975
0.074161667	0.952311674	0.02344999
0.074292365	0.995052074	0.025821905
0.074423062	0.967592127	0.024390062
0.074553759	0.952062022	0.023766539
0.074684457	0.897321936	0.021307093
0.074815154	0.991647252	0.025894712
0.074945851	0.981689708	0.025581498
0.075076549	0.916138271	0.022632998
0.075207246	0.980887648	0.025364619
0.075337943	0.963607108	0.024715848
