#100 mg/ml mit FF 1 und 2 mg/ml		
#q	S(q)	deltaS(q)
0.063183093	0.905017369	0.010665679
0.06331379	0.89697365	0.010499718
0.063444488	0.907821022	0.010816767
0.063575185	0.912763858	0.010888299
0.063705882	0.905048897	0.010832925
0.06383658	0.901856373	0.011142727
0.063967277	0.938954187	0.011647648
0.064097974	0.923586418	0.011328257
0.064228672	0.917277404	0.011100277
0.064359369	0.89675437	0.010735495
0.064490066	0.893405352	0.010677698
0.064620764	0.885225748	0.010487832
0.064751461	0.878898303	0.010426802
0.064882158	0.919974231	0.011263915
0.065012855	0.906622592	0.011012945
0.065143553	0.916713357	0.011377069
0.06527425	0.914217011	0.011246264
0.065404947	0.894587019	0.011307863
0.065535645	0.901005352	0.010993791
0.065666342	0.913799538	0.011324036
0.065797039	0.931920538	0.011813692
0.065927737	0.930923674	0.011761484
0.066058434	0.915558788	0.011414736
0.066189131	0.941125494	0.012146987
0.066319829	0.929934675	0.011696576
0.066450526	0.926024945	0.011797149
0.066581223	0.891061428	0.010951221
0.066711921	0.940794035	0.012162706
0.066842618	0.916944547	0.011621372
0.066973315	0.913054353	0.011509058
0.067104012	0.907208734	0.011453256
0.06723471	0.913579201	0.011587931
0.067365407	0.939904654	0.012736136
0.067496104	0.905498072	0.011423022
0.067626802	0.922036621	0.011846225
0.067757499	0.916587962	0.011712287
0.067888196	0.924470558	0.012032813
0.068018894	0.929508829	0.012010522
0.068149591	0.928013458	0.012095442
0.068280288	0.896348993	0.011827457
0.068410986	0.908903911	0.011610605
0.068541683	0.909275041	0.011729864
0.06867238	0.9175514	0.011891498
0.068803078	0.915903088	0.011915238
0.068933775	0.957995698	0.013016037
0.069064472	0.920896246	0.012056477
0.069195169	0.913965763	0.011996609
0.069325867	0.931100689	0.012360476
0.069456564	0.910482837	0.012413716
0.069587261	0.901821862	0.011717055
0.069717959	0.931392958	0.012415124
0.069848656	0.907443289	0.011938147
0.069979353	0.918213314	0.012206682
0.070110051	0.927783614	0.012428063
0.070240748	0.919746393	0.012218922
0.070371445	0.909359498	0.012006677
0.070502143	0.919096286	0.012780327
0.07063284	0.906058134	0.011982376
0.070763537	0.917931504	0.012215658
0.070894235	0.921009953	0.012408107
0.071024932	0.916316292	0.012288841
0.071155629	0.919929896	0.012479207
0.071286326	0.912757886	0.012298812
0.071417024	0.91982758	0.012406537
0.071547721	0.930391728	0.012760462
0.071678418	0.912381241	0.012222281
0.071809116	0.901821177	0.012012447
0.071939813	0.918087451	0.012561021
0.07207051	0.952852514	0.013945585
0.072201208	0.94684129	0.013341789
0.072331905	0.937391582	0.013146616
0.072462602	0.91599208	0.012496609
0.0725933	0.923412391	0.01279077
0.072723997	0.915046309	0.012547852
0.072854694	0.910972199	0.012432384
0.072985392	0.947056811	0.013488565
0.073116089	0.890065499	0.01241677
0.073246786	0.918265406	0.012741732
0.073377483	0.910938468	0.013204673
0.073508181	0.92222335	0.012839307
0.073638878	0.930403246	0.013734651
0.073769575	0.925255278	0.013033725
0.073900273	0.90803901	0.012615188
0.07403097	0.901669236	0.012530997
0.074161667	0.896603165	0.012814726
0.074292365	0.914868542	0.012874565
0.074423062	0.930048585	0.0132369
0.074553759	0.949036666	0.013752983
0.074684457	0.926654017	0.01320816
0.074815154	0.930521848	0.013361049
0.074945851	0.91784382	0.013046135
0.075076549	0.916508913	0.013048389
