#60 mg/ml nominal mit FF 1 und 2 mg/ml		
#q	S(q)	deltaS(q)
0.054426373	0.934777596	0.009203878
0.054557071	0.929345563	0.009182798
0.054687768	0.930861734	0.009185497
0.054818465	0.930681804	0.009279351
0.054949162	0.944610322	0.00944466
0.05507986	0.923197688	0.009081194
0.055210557	0.925218094	0.009267842
0.055341254	0.928774041	0.009286198
0.055471952	0.969660527	0.010113777
0.055602649	0.937079564	0.009983954
0.055733346	0.926746593	0.009380984
0.055864044	0.938477207	0.009705036
0.055994741	0.951768701	0.009979271
0.056125438	0.948859314	0.009856764
0.056256136	0.937976815	0.009820868
0.056386833	0.921226925	0.009366592
0.05651753	0.94941895	0.010098901
0.056648228	0.943260071	0.010007525
0.056778925	0.940688106	0.009915797
0.056909622	0.928516547	0.010155386
0.057040319	0.95234239	0.010205566
0.057171017	0.944782243	0.010134695
0.057301714	0.944935191	0.010224704
0.057432411	0.953083448	0.010359347
0.057563109	0.942550516	0.010654712
0.057693806	0.947681026	0.010250411
0.057824503	0.949609095	0.010320997
0.057955201	0.938599634	0.010666
0.058085898	0.932049547	0.009981785
0.058216595	0.927191427	0.010425783
0.058347293	0.93870919	0.010230649
0.05847799	0.938977307	0.010209703
0.058608687	0.936495482	0.01026266
0.058739384	0.953671319	0.011049167
0.058870082	0.94358155	0.010869862
0.059000779	0.952730325	0.010702569
0.059131476	0.947189657	0.010421959
0.059262174	0.958496929	0.010773668
0.059392871	0.937112128	0.010393171
0.059523568	0.919612169	0.010064164
0.059654266	0.95297909	0.010766737
0.059784963	0.9340843	0.010304651
0.05991566	0.944799178	0.010666625
0.060046358	0.941946178	0.010603347
0.060177055	0.929945255	0.010332485
0.060307752	0.966472876	0.01113587
0.06043845	0.924236401	0.010255546
0.060569147	0.957585443	0.01093046
0.060699844	0.928157991	0.010481834
0.060830541	0.943188218	0.010620585
0.060961239	0.943361299	0.010779125
0.061091936	0.952249741	0.011019406
0.061222633	0.94344913	0.010788033
0.061353331	0.946404516	0.01098623
0.061484028	0.950384162	0.011955617
0.061614725	0.947164437	0.011064544
0.061745423	0.945716903	0.011039367
0.06187612	0.934600017	0.010693342
0.062006817	0.94372896	0.010964697
0.062137515	0.946457226	0.011093026
0.062268212	0.963271921	0.011480533
0.062398909	0.941350386	0.011036962
0.062529607	0.948338878	0.011098773
0.062660304	0.931231846	0.01088904
0.062791001	0.937551375	0.011049618
0.062921698	0.960843062	0.011491734
0.063052396	0.95520639	0.011503697
0.063183093	0.943775202	0.011171766
0.06331379	0.935171206	0.010995921
0.063444488	0.944949589	0.011308821
0.063575185	0.950687228	0.011389964
0.063705882	0.940918217	0.011312179
0.06383658	0.938360415	0.011641068
0.063967277	0.9798056	0.012203954
0.064097974	0.956665499	0.011802994
0.064228672	0.955093954	0.01160736
0.064359369	0.931183344	0.011197549
0.064490066	0.928172949	0.011161279
0.064620764	0.920614844	0.010956295
0.064751461	0.918320736	0.010943749
0.064882158	0.956402984	0.011759783
0.065012855	0.941292267	0.011483905
0.065143553	0.953890964	0.011888563
0.06527425	0.951489204	0.011742689
0.065404947	0.929300034	0.011794446
0.065535645	0.936402184	0.011475516
0.065666342	0.949080424	0.011811321
0.065797039	0.964168898	0.012273197
0.065927737	0.96818816	0.012282197
0.066058434	0.945960413	0.011844307
0.066189131	0.975152516	0.012637164
0.066319829	0.963247855	0.012165489
0.066450526	0.961436358	0.012298587
0.066581223	0.923042062	0.011425957
0.066711921	0.976374151	0.012673109
0.066842618	0.947630025	0.012060924
0.066973315	0.944994026	0.011961977
0.067104012	0.940304004	0.011921606
0.06723471	0.945990607	0.012049444
0.067365407	0.973716127	0.013242676
0.067496104	0.937564108	0.011878086
0.067626802	0.956048059	0.012333544
0.067757499	0.951644769	0.012210432
0.067888196	0.959055329	0.012533702
0.068018894	0.961834322	0.012478735
0.068149591	0.962199779	0.01259166
0.068280288	0.930894968	0.01233109
0.068410986	0.939546792	0.012071304
0.068541683	0.941239264	0.012193156
0.06867238	0.951295262	0.012386273
0.068803078	0.948845364	0.012394584
0.068933775	0.998431032	0.013615861
0.069064472	0.957020586	0.012579696
0.069195169	0.949603366	0.012514878
0.069325867	0.967604283	0.012895461
0.069456564	0.945005463	0.012932866
0.069587261	0.932340034	0.012152993
0.069717959	0.966339667	0.012931545
0.069848656	0.938079134	0.012392094
0.069979353	0.952200453	0.012709051
0.070110051	0.962126165	0.012938867
0.070240748	0.953264503	0.012715152
0.070371445	0.943748626	0.012511216
0.070502143	0.951373154	0.013277962
0.07063284	0.940483379	0.012488235
0.070763537	0.944735951	0.012623529
0.070894235	0.949180898	0.012838901
0.071024932	0.949246806	0.012781229
0.071155629	0.952812598	0.012976313
0.071286326	0.943262104	0.012761237
0.071417024	0.953419822	0.01291028
0.071547721	0.958855408	0.013202485
0.071678418	0.94329871	0.01268739
0.071809116	0.929114783	0.012427061
0.071939813	0.949264483	0.013038914
0.07207051	0.977410598	0.014372809
0.072201208	0.976309363	0.013808582
0.072331905	0.964856276	0.013583818
0.072462602	0.946567991	0.012964741
0.0725933	0.953410077	0.013257783
0.072723997	0.946525825	0.013030757
0.072854694	0.93609982	0.012826967
0.072985392	0.975049529	0.013939366
0.073116089	0.919023632	0.012869439
0.073246786	0.952812966	0.013272057
0.073377483	0.938998685	0.013634768
0.073508181	0.948710483	0.013259641
0.073638878	0.959758758	0.014217732
0.073769575	0.954837007	0.013501673
0.073900273	0.937155143	0.01307108
0.07403097	0.929683964	0.012972216
0.074161667	0.926042395	0.013284335
0.074292365	0.941697992	0.013303924
0.074423062	0.954672537	0.013639284
0.074553759	0.975949112	0.014194962
0.074684457	0.957665679	0.01372105
0.074815154	0.959757342	0.013832486
0.074945851	0.949604014	0.013548834
0.075076549	0.946595987	0.013516661
0.075207246	0.979103841	0.01439849
0.075337943	0.933555658	0.013307214
0.07546864	0.920848574	0.012929816
0.075599338	0.937292929	0.013368591
0.075730035	0.981593472	0.014666235
0.075860732	0.933193336	0.013272838
0.07599143	0.945200581	0.013647931
0.076122127	0.93826973	0.013509434
0.076252824	0.942738914	0.013629806
0.076383522	0.95910332	0.014142151
0.076514219	0.950893698	0.013897387
0.076644916	0.958689161	0.014162361
0.076775614	0.974320067	0.014755007
0.076906311	0.940380493	0.013694838
